Data_venda;Canal;ProductKey;Cod_Produto;Desc_Produto;Classe_Produto;Custo_Unit;Preco_Unit;Qtd_Venda;Qtd_Devolução;Valor_Devolução;Qtd_Desconto;Valor_Desconto;Custo_Total;Vendas_Total
01/01/15;Loja;3;101003;Produto 1G MP3 Player E100 White;Econômico;R$ 7,40;R$ 14,52;9;0;R$ 0,00;3;R$ 2,18;R$ 66,60;R$ 128,50
01/01/15;Online;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;9;1;R$ 21,57;0;R$ 0,00;R$ 88,00;R$ 194,13
01/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;8;0;R$ 0,00;4;R$ 17,26;R$ 88,00;R$ 155,30
01/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;2;R$ 2,16;R$ 99,00;R$ 191,97
01/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;13;1;R$ 21,57;1;R$ 3,24;R$ 132,00;R$ 277,17
01/01/15;Loja;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;3;R$ 3,24;R$ 99,00;R$ 190,89
01/01/15;Revendedor;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;8;0;R$ 0,00;4;R$ 17,26;R$ 88,00;R$ 155,30
01/01/15;Loja;6;101006;Produto 2G MP3 Player E200 Black;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;4;R$ 4,31;R$ 99,00;R$ 189,82
01/01/15;Online;6;101006;Produto 2G MP3 Player E200 Black;Econômico;R$ 11,00;R$ 21,57;39;0;R$ 0,00;2;R$ 6,47;R$ 429,00;R$ 834,76
01/01/15;Online;7;101007;Produto 2G MP3 Player E200 Blue;Econômico;R$ 11,00;R$ 21,57;18;1;R$ 21,57;4;R$ 4,31;R$ 187,00;R$ 383,95
01/01/15;Loja;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;2;R$ 6,00;R$ 275,22;R$ 533,91
01/01/15;Loja;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;1;R$ 3,00;R$ 275,22;R$ 536,91
01/01/15;Loja;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;2;R$ 6,00;R$ 275,22;R$ 533,91
